
text,category
Компьютер не включается после обновления Windows,Ремонт компьютерной техники
После включения появляется черный экран,Ремонт компьютерной техники
Ноутбук сильно нагревается во время работы,Ремонт компьютерной техники
Компьютер зависает при открытии программ,Ремонт компьютерной техники
Во время работы ПК резко выключается,Ремонт компьютерной техники
Не работает клавиатура на рабочем компьютере,Ремонт компьютерной техники
Системный блок шумит и перегревается,Ремонт компьютерной техники
Не определяется жесткий диск в BIOS,Ремонт компьютерной техники
Монитор не показывает изображение,Ремонт компьютерной техники
Не работает видеокарта после установки драйвера,Ремонт компьютерной техники
Компьютер очень медленно загружается,Ремонт компьютерной техники
Ноутбук не заряжается от блока питания,Ремонт компьютерной техники
Компьютер самопроизвольно перезагружается,Ремонт компьютерной техники
После чистки перестал запускаться ПК,Ремонт компьютерной техники
Не работают USB порты на передней панели,Ремонт компьютерной техники
Компьютер зависает во время работы в браузере,Ремонт компьютерной техники
После запуска Windows появляется синий экран,Ремонт компьютерной техники
Не работает звук на ноутбуке сотрудника,Ремонт компьютерной техники
Компьютер пищит при запуске системы,Ремонт компьютерной техники
После включения нет изображения на мониторе,Ремонт компьютерной техники
Ноутбук стал сильно тормозить после обновления,Ремонт компьютерной техники
Во время работы выключается системный блок,Ремонт компьютерной техники
Компьютер долго включается утром,Ремонт компьютерной техники
После обновления драйверов пропало изображение,Ремонт компьютерной техники
Не работает кулер охлаждения процессора,Ремонт компьютерной техники
Компьютер сильно шумит после запуска игр,Ремонт компьютерной техники
Не определяется SSD накопитель,Ремонт компьютерной техники
Монитор периодически мигает,Ремонт компьютерной техники
Не работает мышка после подключения,Ремонт компьютерной техники
Ноутбук выключается без причины,Ремонт компьютерной техники
Компьютер зависает при входе в систему,Ремонт компьютерной техники
После обновления Windows перестал включаться ПК,Ремонт компьютерной техники
Не работает кнопка включения компьютера,Ремонт компьютерной техники
Во время работы появляется синий экран смерти,Ремонт компьютерной техники
Не работает HDMI выход на компьютере,Ремонт компьютерной техники
После запуска появляется ошибка BIOS,Ремонт компьютерной техники
Системный блок сильно греется,Ремонт компьютерной техники
Ноутбук начал очень медленно работать,Ремонт компьютерной техники
Не включается рабочая станция сотрудника,Ремонт компьютерной техники
Компьютер зависает во время запуска Excel,Ремонт компьютерной техники
После переезда офиса не запускается ПК,Ремонт компьютерной техники
Появляются артефакты на экране монитора,Ремонт компьютерной техники
Не определяется оперативная память,Ремонт компьютерной техники
Ноутбук перестал видеть зарядное устройство,Ремонт компьютерной техники
Компьютер выключается при высокой нагрузке,Ремонт компьютерной техники
После запуска слышны странные звуки внутри системного блока,Ремонт компьютерной техники
Монитор пишет нет сигнала,Ремонт компьютерной техники
Компьютер зависает при запуске браузера Chrome,Ремонт компьютерной техники
Не работает Bluetooth адаптер,Ремонт компьютерной техники
Система не видит подключенную мышь,Ремонт компьютерной техники
Интернет в офисе постоянно пропадает,Сетевые технологии
Не удается подключиться к корпоративному Wi‑Fi,Сетевые технологии
Очень низкая скорость интернета в кабинете,Сетевые технологии
Компьютер не получает IP адрес автоматически,Сетевые технологии
После установки роутера пропал интернет,Сетевые технологии
Не работает сетевой кабель в серверной,Сетевые технологии
Пропал доступ к локальной сети компании,Сетевые технологии
Периодически отключается Wi‑Fi соединение,Сетевые технологии
Не удается подключить сетевой принтер,Сетевые технологии
Пропал доступ к сетевому диску отдела,Сетевые технологии
